"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 18:26:28 GMT 2023","Tue Oct 10 18:26:29 GMT 2023","371","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Tue Oct 10 18:26:28 GMT 2023","Tue Oct 10 18:26:28 GMT 2023","364","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Tue Oct 10 18:26:23 GMT 2023","Tue Oct 10 18:26:26 GMT 2023","3208","","Validate users resources","","Create User","","Create User",""
"passed","Tue Oct 10 18:26:26 GMT 2023","Tue Oct 10 18:26:28 GMT 2023","1797","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Tue Oct 10 18:26:29 GMT 2023","Tue Oct 10 18:26:30 GMT 2023","937","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Tue Oct 10 18:26:29 GMT 2023","Tue Oct 10 18:26:29 GMT 2023","385","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
