"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 19:34:07 GMT 2023","Tue Oct 24 19:34:08 GMT 2023","1025","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Tue Oct 24 19:34:06 GMT 2023","Tue Oct 24 19:34:07 GMT 2023","1027","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Tue Oct 24 19:33:52 GMT 2023","Tue Oct 24 19:33:56 GMT 2023","4524","","Validate posts resources","","Create Post","","Create Post",""
"passed","Tue Oct 24 19:34:12 GMT 2023","Tue Oct 24 19:34:13 GMT 2023","1293","","Validate users resources","","Update user details","","Update user details",""
"passed","Tue Oct 24 19:34:10 GMT 2023","Tue Oct 24 19:34:11 GMT 2023","1379","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Tue Oct 24 19:34:08 GMT 2023","Tue Oct 24 19:34:09 GMT 2023","1013","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Tue Oct 24 19:34:02 GMT 2023","Tue Oct 24 19:34:03 GMT 2023","448","","Validate users resources","","Create User","","Create User",""
"passed","Tue Oct 24 19:34:05 GMT 2023","Tue Oct 24 19:34:06 GMT 2023","1007","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Tue Oct 24 19:34:09 GMT 2023","Tue Oct 24 19:34:10 GMT 2023","1006","","Validate users resources","","Get all users","","Get all users",""
"passed","Tue Oct 24 19:34:11 GMT 2023","Tue Oct 24 19:34:12 GMT 2023","395","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Tue Oct 24 19:34:03 GMT 2023","Tue Oct 24 19:34:05 GMT 2023","2010","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Tue Oct 24 19:33:56 GMT 2023","Tue Oct 24 19:33:59 GMT 2023","3052","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Tue Oct 24 19:33:59 GMT 2023","Tue Oct 24 19:34:02 GMT 2023","2931","","Validate posts resources","","Delete Post","","Delete Post",""
