"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 12:30:50 GMT 2023","Wed Oct 25 12:30:50 GMT 2023","423","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 12:30:52 GMT 2023","Wed Oct 25 12:30:55 GMT 2023","2958","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 12:30:45 GMT 2023","Wed Oct 25 12:30:46 GMT 2023","953","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 12:30:50 GMT 2023","Wed Oct 25 12:30:51 GMT 2023","459","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 12:30:52 GMT 2023","Wed Oct 25 12:30:52 GMT 2023","396","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 12:30:48 GMT 2023","Wed Oct 25 12:30:49 GMT 2023","968","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 12:30:51 GMT 2023","Wed Oct 25 12:30:51 GMT 2023","425","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 12:30:40 GMT 2023","Wed Oct 25 12:30:42 GMT 2023","2441","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 12:30:49 GMT 2023","Wed Oct 25 12:30:50 GMT 2023","394","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 12:30:35 GMT 2023","Wed Oct 25 12:30:40 GMT 2023","4534","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 12:30:46 GMT 2023","Wed Oct 25 12:30:48 GMT 2023","2081","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 12:30:51 GMT 2023","Wed Oct 25 12:30:52 GMT 2023","843","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 12:30:42 GMT 2023","Wed Oct 25 12:30:45 GMT 2023","2961","","Validate posts resources","","Delete Post","","Delete Post",""
