"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 17:04:08 GMT 2023","Mon Oct 23 17:04:08 GMT 2023","369","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Mon Oct 23 17:04:02 GMT 2023","Mon Oct 23 17:04:03 GMT 2023","984","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Mon Oct 23 17:04:05 GMT 2023","Mon Oct 23 17:04:06 GMT 2023","1029","","Validate users resources","","Get all users","","Get all users",""
"passed","Mon Oct 23 17:04:03 GMT 2023","Mon Oct 23 17:04:04 GMT 2023","1020","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Mon Oct 23 17:03:59 GMT 2023","Mon Oct 23 17:04:00 GMT 2023","417","","Validate users resources","","Create User","","Create User",""
"passed","Mon Oct 23 17:03:49 GMT 2023","Mon Oct 23 17:03:54 GMT 2023","5062","","Validate posts resources","","Create Post","","Create Post",""
"passed","Mon Oct 23 17:03:57 GMT 2023","Mon Oct 23 17:03:59 GMT 2023","2455","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Mon Oct 23 17:04:08 GMT 2023","Mon Oct 23 17:04:09 GMT 2023","1283","","Validate users resources","","Update user details","","Update user details",""
"passed","Mon Oct 23 17:04:00 GMT 2023","Mon Oct 23 17:04:01 GMT 2023","1493","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Mon Oct 23 17:04:04 GMT 2023","Mon Oct 23 17:04:05 GMT 2023","997","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Mon Oct 23 17:03:54 GMT 2023","Mon Oct 23 17:03:57 GMT 2023","2947","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Mon Oct 23 17:04:06 GMT 2023","Mon Oct 23 17:04:08 GMT 2023","1358","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Mon Oct 23 17:04:01 GMT 2023","Mon Oct 23 17:04:02 GMT 2023","956","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
