"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 17 19:36:40 GMT 2023","Tue Oct 17 19:36:41 GMT 2023","1003","","Validate users resources","","Get all users","","Get all users",""
"passed","Tue Oct 17 19:36:43 GMT 2023","Tue Oct 17 19:36:46 GMT 2023","2480","","Validate users resources","","Update user details","","Update user details",""
"passed","Tue Oct 17 19:36:39 GMT 2023","Tue Oct 17 19:36:40 GMT 2023","429","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Tue Oct 17 19:36:36 GMT 2023","Tue Oct 17 19:36:37 GMT 2023","1042","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Tue Oct 17 19:36:41 GMT 2023","Tue Oct 17 19:36:42 GMT 2023","1712","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Tue Oct 17 19:36:38 GMT 2023","Tue Oct 17 19:36:39 GMT 2023","1058","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Tue Oct 17 19:36:33 GMT 2023","Tue Oct 17 19:36:36 GMT 2023","2823","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Tue Oct 17 19:36:27 GMT 2023","Tue Oct 17 19:36:33 GMT 2023","6530","","Validate users resources","","Create User","","Create User",""
"passed","Tue Oct 17 19:36:42 GMT 2023","Tue Oct 17 19:36:43 GMT 2023","999","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Tue Oct 17 19:36:37 GMT 2023","Tue Oct 17 19:36:38 GMT 2023","1007","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
