"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 16:39:55 GMT 2023","Wed Oct 25 16:39:57 GMT 2023","2574","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 16:40:05 GMT 2023","Wed Oct 25 16:40:05 GMT 2023","338","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 16:39:59 GMT 2023","Wed Oct 25 16:40:00 GMT 2023","859","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 16:39:58 GMT 2023","Wed Oct 25 16:39:59 GMT 2023","753","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 16:39:52 GMT 2023","Wed Oct 25 16:39:55 GMT 2023","2795","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 16:40:00 GMT 2023","Wed Oct 25 16:40:01 GMT 2023","800","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 16:40:03 GMT 2023","Wed Oct 25 16:40:05 GMT 2023","1587","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 16:39:47 GMT 2023","Wed Oct 25 16:39:52 GMT 2023","4704","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 16:39:57 GMT 2023","Wed Oct 25 16:39:58 GMT 2023","893","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 16:40:05 GMT 2023","Wed Oct 25 16:40:06 GMT 2023","1184","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 16:40:02 GMT 2023","Wed Oct 25 16:40:03 GMT 2023","862","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 16:40:01 GMT 2023","Wed Oct 25 16:40:01 GMT 2023","837","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 16:40:02 GMT 2023","Wed Oct 25 16:40:02 GMT 2023","836","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
