"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 08 13:06:41 GMT 2023","Fri Dec 08 13:06:42 GMT 2023","1059","","Validate users resources","","Get all users","","Get all users",""
"passed","Fri Dec 08 13:06:26 GMT 2023","Fri Dec 08 13:06:30 GMT 2023","3345","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Fri Dec 08 13:06:30 GMT 2023","Fri Dec 08 13:06:33 GMT 2023","3602","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Fri Dec 08 13:06:42 GMT 2023","Fri Dec 08 13:06:44 GMT 2023","2233","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Fri Dec 08 13:06:39 GMT 2023","Fri Dec 08 13:06:40 GMT 2023","1205","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Fri Dec 08 13:06:22 GMT 2023","Fri Dec 08 13:06:26 GMT 2023","4571","","Validate posts resources","","Create Post","","Create Post",""
"passed","Fri Dec 08 13:06:37 GMT 2023","Fri Dec 08 13:06:38 GMT 2023","586","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Fri Dec 08 13:06:33 GMT 2023","Fri Dec 08 13:06:34 GMT 2023","1229","","Validate users resources","","Create User","","Create User",""
"passed","Fri Dec 08 13:06:44 GMT 2023","Fri Dec 08 13:06:45 GMT 2023","530","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Fri Dec 08 13:06:40 GMT 2023","Fri Dec 08 13:06:41 GMT 2023","1052","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Fri Dec 08 13:06:38 GMT 2023","Fri Dec 08 13:06:39 GMT 2023","1138","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Fri Dec 08 13:06:45 GMT 2023","Fri Dec 08 13:06:48 GMT 2023","3202","","Validate users resources","","Update user details","","Update user details",""
"passed","Fri Dec 08 13:06:34 GMT 2023","Fri Dec 08 13:06:37 GMT 2023","2548","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
