"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 16:29:27 GMT 2023","Wed Oct 25 16:29:30 GMT 2023","2328","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 16:29:36 GMT 2023","Wed Oct 25 16:29:37 GMT 2023","333","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 16:29:32 GMT 2023","Wed Oct 25 16:29:32 GMT 2023","433","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 16:29:21 GMT 2023","Wed Oct 25 16:29:26 GMT 2023","4289","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 16:29:34 GMT 2023","Wed Oct 25 16:29:36 GMT 2023","1984","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 16:29:30 GMT 2023","Wed Oct 25 16:29:32 GMT 2023","1475","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 16:29:26 GMT 2023","Wed Oct 25 16:29:27 GMT 2023","1706","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 16:29:37 GMT 2023","Wed Oct 25 16:29:38 GMT 2023","1149","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 16:29:30 GMT 2023","Wed Oct 25 16:29:30 GMT 2023","434","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 16:29:32 GMT 2023","Wed Oct 25 16:29:33 GMT 2023","427","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 16:29:32 GMT 2023","Wed Oct 25 16:29:32 GMT 2023","409","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 16:29:34 GMT 2023","Wed Oct 25 16:29:34 GMT 2023","417","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 16:29:33 GMT 2023","Wed Oct 25 16:29:34 GMT 2023","950","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
