"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 00:59:37 GMT 2023","Wed Oct 25 00:59:39 GMT 2023","1254","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 00:59:25 GMT 2023","Wed Oct 25 00:59:29 GMT 2023","4011","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 00:59:36 GMT 2023","Wed Oct 25 00:59:37 GMT 2023","422","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 00:59:36 GMT 2023","Wed Oct 25 00:59:36 GMT 2023","410","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 00:59:39 GMT 2023","Wed Oct 25 00:59:40 GMT 2023","942","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 00:59:37 GMT 2023","Wed Oct 25 00:59:37 GMT 2023","404","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 00:59:29 GMT 2023","Wed Oct 25 00:59:30 GMT 2023","1240","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 00:59:37 GMT 2023","Wed Oct 25 00:59:37 GMT 2023","429","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 00:59:30 GMT 2023","Wed Oct 25 00:59:32 GMT 2023","2289","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 00:59:35 GMT 2023","Wed Oct 25 00:59:36 GMT 2023","399","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 00:59:33 GMT 2023","Wed Oct 25 00:59:35 GMT 2023","1943","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 00:59:32 GMT 2023","Wed Oct 25 00:59:33 GMT 2023","874","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 00:59:40 GMT 2023","Wed Oct 25 00:59:41 GMT 2023","1139","","Validate users resources","","Update user details","","Update user details",""
