"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 16:51:00 GMT 2023","Wed Oct 25 16:51:04 GMT 2023","3914","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 16:51:11 GMT 2023","Wed Oct 25 16:51:11 GMT 2023","369","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 16:51:08 GMT 2023","Wed Oct 25 16:51:10 GMT 2023","1404","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 16:51:13 GMT 2023","Wed Oct 25 16:51:13 GMT 2023","382","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 16:51:06 GMT 2023","Wed Oct 25 16:51:08 GMT 2023","2199","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 16:51:08 GMT 2023","Wed Oct 25 16:51:08 GMT 2023","428","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 16:51:11 GMT 2023","Wed Oct 25 16:51:12 GMT 2023","424","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 16:51:04 GMT 2023","Wed Oct 25 16:51:06 GMT 2023","1747","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 16:51:11 GMT 2023","Wed Oct 25 16:51:11 GMT 2023","454","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 16:51:10 GMT 2023","Wed Oct 25 16:51:11 GMT 2023","380","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 16:51:13 GMT 2023","Wed Oct 25 16:51:15 GMT 2023","1655","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 16:51:10 GMT 2023","Wed Oct 25 16:51:10 GMT 2023","384","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 16:51:12 GMT 2023","Wed Oct 25 16:51:13 GMT 2023","1265","","Validate users resources","","Get Specific User","","Get Specific User",""
