"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 16:43:53 GMT 2023","Wed Oct 25 16:43:55 GMT 2023","1816","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 16:43:50 GMT 2023","Wed Oct 25 16:43:52 GMT 2023","2634","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 16:43:52 GMT 2023","Wed Oct 25 16:43:53 GMT 2023","918","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 16:43:59 GMT 2023","Wed Oct 25 16:44:01 GMT 2023","2288","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 16:43:56 GMT 2023","Wed Oct 25 16:43:57 GMT 2023","891","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 16:43:58 GMT 2023","Wed Oct 25 16:43:59 GMT 2023","727","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 16:43:56 GMT 2023","Wed Oct 25 16:43:56 GMT 2023","427","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 16:43:57 GMT 2023","Wed Oct 25 16:43:58 GMT 2023","371","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 16:43:58 GMT 2023","Wed Oct 25 16:43:58 GMT 2023","407","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 16:43:47 GMT 2023","Wed Oct 25 16:43:50 GMT 2023","2863","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 16:43:55 GMT 2023","Wed Oct 25 16:43:56 GMT 2023","854","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 16:43:59 GMT 2023","Wed Oct 25 16:43:59 GMT 2023","354","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 16:43:43 GMT 2023","Wed Oct 25 16:43:47 GMT 2023","4055","","Validate posts resources","","Create Post","","Create Post",""
