"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 17 19:54:03 GMT 2023","Tue Oct 17 19:54:04 GMT 2023","995","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Tue Oct 17 19:53:58 GMT 2023","Tue Oct 17 19:54:01 GMT 2023","3511","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Tue Oct 17 19:54:01 GMT 2023","Tue Oct 17 19:54:03 GMT 2023","1021","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Tue Oct 17 19:54:04 GMT 2023","Tue Oct 17 19:54:04 GMT 2023","445","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
