"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 16:20:16 GMT 2023","Wed Oct 25 16:20:17 GMT 2023","1375","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 16:20:24 GMT 2023","Wed Oct 25 16:20:25 GMT 2023","893","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 16:20:19 GMT 2023","Wed Oct 25 16:20:21 GMT 2023","1987","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 16:20:23 GMT 2023","Wed Oct 25 16:20:23 GMT 2023","395","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 16:20:17 GMT 2023","Wed Oct 25 16:20:19 GMT 2023","1645","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 16:20:21 GMT 2023","Wed Oct 25 16:20:22 GMT 2023","351","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 16:20:22 GMT 2023","Wed Oct 25 16:20:22 GMT 2023","406","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 16:20:23 GMT 2023","Wed Oct 25 16:20:24 GMT 2023","743","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 16:20:22 GMT 2023","Wed Oct 25 16:20:22 GMT 2023","380","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 16:20:19 GMT 2023","Wed Oct 25 16:20:19 GMT 2023","369","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 16:20:25 GMT 2023","Wed Oct 25 16:20:26 GMT 2023","1230","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 16:20:12 GMT 2023","Wed Oct 25 16:20:16 GMT 2023","4272","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 16:20:22 GMT 2023","Wed Oct 25 16:20:23 GMT 2023","379","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
