"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 18:21:44 GMT 2023","Tue Oct 24 18:21:45 GMT 2023","401","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Tue Oct 24 18:21:39 GMT 2023","Tue Oct 24 18:21:41 GMT 2023","2543","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Tue Oct 24 18:21:46 GMT 2023","Tue Oct 24 18:21:46 GMT 2023","422","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Tue Oct 24 18:21:45 GMT 2023","Tue Oct 24 18:21:46 GMT 2023","430","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Tue Oct 24 18:21:46 GMT 2023","Tue Oct 24 18:21:47 GMT 2023","407","","Validate users resources","","Get all users","","Get all users",""
"passed","Tue Oct 24 18:21:43 GMT 2023","Tue Oct 24 18:21:44 GMT 2023","436","","Validate users resources","","Create User","","Create User",""
"passed","Tue Oct 24 18:21:35 GMT 2023","Tue Oct 24 18:21:39 GMT 2023","3499","","Validate posts resources","","Create Post","","Create Post",""
"passed","Tue Oct 24 18:21:44 GMT 2023","Tue Oct 24 18:21:44 GMT 2023","902","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Tue Oct 24 18:21:48 GMT 2023","Tue Oct 24 18:21:49 GMT 2023","395","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Tue Oct 24 18:21:45 GMT 2023","Tue Oct 24 18:21:45 GMT 2023","402","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Tue Oct 24 18:21:41 GMT 2023","Tue Oct 24 18:21:43 GMT 2023","1732","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Tue Oct 24 18:21:47 GMT 2023","Tue Oct 24 18:21:48 GMT 2023","1768","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Tue Oct 24 18:21:49 GMT 2023","Tue Oct 24 18:21:50 GMT 2023","1250","","Validate users resources","","Update user details","","Update user details",""
