"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 16:51:33 GMT 2023","Wed Oct 25 16:51:33 GMT 2023","808","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 16:51:31 GMT 2023","Wed Oct 25 16:51:32 GMT 2023","449","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Wed Oct 25 16:51:31 GMT 2023","Wed Oct 25 16:51:31 GMT 2023","375","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 16:51:26 GMT 2023","Wed Oct 25 16:51:27 GMT 2023","1308","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 16:51:28 GMT 2023","Wed Oct 25 16:51:29 GMT 2023","950","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 16:51:33 GMT 2023","Wed Oct 25 16:51:34 GMT 2023","374","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 16:51:34 GMT 2023","Wed Oct 25 16:51:36 GMT 2023","1699","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 16:51:29 GMT 2023","Wed Oct 25 16:51:31 GMT 2023","1350","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 16:51:21 GMT 2023","Wed Oct 25 16:51:26 GMT 2023","4233","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 16:51:32 GMT 2023","Wed Oct 25 16:51:32 GMT 2023","393","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 16:51:27 GMT 2023","Wed Oct 25 16:51:28 GMT 2023","1180","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 16:51:32 GMT 2023","Wed Oct 25 16:51:33 GMT 2023","425","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 16:51:31 GMT 2023","Wed Oct 25 16:51:31 GMT 2023","375","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
