"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 17:34:08 GMT 2023","Wed Oct 25 17:34:09 GMT 2023","895","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 17:34:13 GMT 2023","Wed Oct 25 17:34:14 GMT 2023","951","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 17:34:11 GMT 2023","Wed Oct 25 17:34:12 GMT 2023","906","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 17:34:17 GMT 2023","Wed Oct 25 17:34:20 GMT 2023","2163","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 17:34:09 GMT 2023","Wed Oct 25 17:34:11 GMT 2023","1829","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 17:34:06 GMT 2023","Wed Oct 25 17:34:08 GMT 2023","2647","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 17:34:12 GMT 2023","Wed Oct 25 17:34:13 GMT 2023","869","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 17:33:58 GMT 2023","Wed Oct 25 17:34:03 GMT 2023","5314","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 17:34:15 GMT 2023","Wed Oct 25 17:34:17 GMT 2023","1249","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 17:34:03 GMT 2023","Wed Oct 25 17:34:06 GMT 2023","2862","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 17:34:14 GMT 2023","Wed Oct 25 17:34:15 GMT 2023","906","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 17:34:17 GMT 2023","Wed Oct 25 17:34:17 GMT 2023","868","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 17:34:13 GMT 2023","Wed Oct 25 17:34:13 GMT 2023","405","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
